Date,Temperature,Condition
2026-02-23 12:00:00,35.1,Clouds
2026-02-23 15:00:00,30.19,Clouds
2026-02-23 18:00:00,26.04,Clouds
2026-02-23 21:00:00,24.93,Clear
2026-02-24 00:00:00,23.85,Clear
2026-02-24 03:00:00,26.29,Clouds
2026-02-24 06:00:00,31.76,Clouds
2026-02-24 09:00:00,35.01,Clouds
2026-02-24 12:00:00,33.81,Clouds
2026-02-24 15:00:00,27.7,Rain
2026-02-24 18:00:00,25.67,Clouds
2026-02-24 21:00:00,24.66,Clouds
2026-02-25 00:00:00,23.99,Clouds
2026-02-25 03:00:00,26.25,Clouds
2026-02-25 06:00:00,31.48,Clouds
2026-02-25 09:00:00,34.54,Clouds
2026-02-25 12:00:00,26.4,Rain
2026-02-25 15:00:00,26.8,Clouds
2026-02-25 18:00:00,25.51,Rain
2026-02-25 21:00:00,24.42,Rain
2026-02-26 00:00:00,24.05,Clear
2026-02-26 03:00:00,25.75,Rain
2026-02-26 06:00:00,27.09,Clouds
2026-02-26 09:00:00,31.19,Clouds
2026-02-26 12:00:00,26.99,Rain
2026-02-26 15:00:00,25.98,Clouds
2026-02-26 18:00:00,24.9,Rain
2026-02-26 21:00:00,23.95,Rain
2026-02-27 00:00:00,23.33,Rain
2026-02-27 03:00:00,25.34,Rain
2026-02-27 06:00:00,30.42,Clouds
2026-02-27 09:00:00,33.29,Clouds
2026-02-27 12:00:00,30.65,Rain
2026-02-27 15:00:00,25.84,Rain
2026-02-27 18:00:00,25.61,Rain
2026-02-27 21:00:00,25.12,Rain
2026-02-28 00:00:00,24.89,Rain
2026-02-28 03:00:00,25.5,Rain
2026-02-28 06:00:00,26.92,Clouds
2026-02-28 09:00:00,29.12,Clouds
